Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
182.0,1.0,0.0,246090.64999999932,1.0,1.0,0.
183.0,1.0,0.0,328981.6499999993,1.0,1.0,0.
184.0,1.0,0.0,320187.6499999993,1.0,1.0,0.
185.0,1.0,0.0,317485.6499999993,1.0,1.0,0.
186.0,1.0,0.0,332578.6499999993,1.0,1.0,0.
187.0,1.0,0.0,255457.64999999932,1.0,1.0,0.
188.0,1.0,0.0,260123.64999999932,1.0,1.0,0.
189.0,1.0,0.0,267323.6499999993,1.0,1.0,0.
190.0,1.0,0.0,260787.64999999932,1.0,1.0,0.
191.0,1.0,0.0,254704.64999999932,1.0,1.0,0.
192.0,1.0,0.0,256098.64999999932,1.0,1.0,0.
193.0,1.0,0.0,257964.64999999932,1.0,1.0,0.
194.0,1.0,0.0,260772.64999999932,1.0,1.0,0.
195.0,1.0,0.0,269351.6499999993,1.0,1.0,0.
196.0,1.0,0.0,275518.6499999993,1.0,1.0,0.
197.0,1.0,0.0,247142.64999999932,1.0,1.0,0.
198.0,1.0,0.0,240832.64999999932,1.0,1.0,0.
199.0,1.0,0.0,228921.64999999932,1.0,1.0,0.
200.0,1.0,0.0,230226.64999999932,1.0,1.0,0.
201.0,1.0,0.0,284157.6499999993,1.0,1.0,0.
202.0,1.0,0.0,236557.64999999932,1.0,1.0,0.
203.0,1.0,0.0,275858.6499999993,1.0,1.0,0.
204.0,1.0,0.0,297974.6499999993,1.0,1.0,0.
205.0,1.0,0.0,259782.64999999932,1.0,1.0,0.
206.0,1.0,0.0,243691.64999999932,1.0,1.0,0.
207.0,1.0,0.0,252682.64999999932,1.0,1.0,0.
208.0,1.0,0.0,264972.6499999993,1.0,1.0,0.
209.0,1.0,0.0,214203.64999999932,1.0,1.0,0.
210.0,1.0,0.0,168799.64999999932,1.0,1.0,0.
211.0,1.0,0.0,226872.64999999932,1.0,1.0,0.
212.0,1.0,0.0,213279.64999999932,1.0,1.0,0.
213.0,1.0,0.0,222366.64999999932,1.0,1.0,0.
214.0,1.0,0.0,224107.64999999932,1.0,1.0,0.
215.0,1.0,0.0,216374.64999999932,1.0,1.0,0.
216.0,1.0,0.0,219406.64999999932,1.0,1.0,0.
217.0,1.0,0.0,222802.64999999932,1.0,1.0,0.
218.0,1.0,0.0,235515.64999999932,1.0,1.0,0.
219.0,1.0,0.0,220829.64999999932,1.0,1.0,0.
220.0,1.0,0.0,221780.64999999932,1.0,1.0,0.
221.0,1.0,0.0,226356.64999999932,1.0,1.0,0.
222.0,1.0,0.0,200916.64999999932,1.0,1.0,0.
223.0,1.0,0.0,198990.64999999932,1.0,1.0,0.
224.0,1.0,0.0,309738.6499999993,1.0,1.0,0.
225.0,1.0,0.0,272875.6499999993,1.0,1.0,0.
226.0,1.0,0.0,234657.64999999932,1.0,1.0,0.
227.0,1.0,0.0,266070.6499999993,1.0,1.0,0.
