Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
147.0,0.0,0.0,279244.3500000007,0.0,0.0,1.
148.0,0.0,0.0,274904.3500000007,0.0,0.0,1.
149.0,0.0,0.0,293411.3500000007,0.0,0.0,1.
150.0,0.0,0.0,325082.3500000007,0.0,0.0,1.
151.0,0.0,0.0,356562.3500000007,0.0,0.0,1.
152.0,0.0,1.0,385344.3500000007,0.0,0.0,1.
153.0,0.0,1.0,374570.3500000007,0.0,0.0,1.
154.0,0.0,1.0,349046.3500000007,0.0,0.0,1.
155.0,0.0,1.0,343251.3500000007,0.0,0.0,1.
156.0,0.0,1.0,350311.3500000007,0.0,0.0,1.
157.0,0.0,1.0,290110.3500000007,0.0,0.0,1.
158.0,0.0,1.0,287999.3500000007,0.0,0.0,1.
159.0,0.0,1.0,308282.3500000007,0.0,0.0,1.
160.0,0.0,1.0,315710.3500000007,0.0,0.0,1.
161.0,0.0,1.0,338865.3500000007,0.0,0.0,1.
162.0,0.0,1.0,325483.3500000007,0.0,0.0,1.
163.0,0.0,0.0,313456.3500000007,0.0,0.0,1.
164.0,0.0,0.0,319646.3500000007,0.0,0.0,1.
165.0,0.0,0.0,322820.3500000007,0.0,0.0,1.
166.0,0.0,0.0,314003.3500000007,0.0,0.0,1.
167.0,0.0,0.0,316186.3500000007,0.0,0.0,1.
168.0,0.0,0.0,316447.3500000007,0.0,0.0,1.
169.0,0.0,1.0,344376.3500000007,0.0,0.0,1.
170.0,0.0,1.0,430759.3500000007,0.0,0.0,1.
171.0,0.0,1.0,426329.3500000007,0.0,0.0,1.
172.0,0.0,1.0,415040.3500000007,0.0,0.0,1.
173.0,0.0,1.0,426695.3500000007,0.0,0.0,1.
174.0,0.0,1.0,431114.3500000007,0.0,0.0,1.
175.0,0.0,1.0,447764.3500000007,0.0,0.0,1.
176.0,0.0,1.0,451628.3500000007,0.0,0.0,1.
177.0,0.0,1.0,477651.3500000007,0.0,0.0,1.
178.0,0.0,1.0,445918.3500000007,0.0,0.0,1.
179.0,0.0,1.0,446224.3500000007,0.0,0.0,1.
180.0,0.0,1.0,350109.3500000007,0.0,0.0,1.
181.0,0.0,1.0,377502.3500000007,0.0,0.0,1.
182.0,0.0,1.0,416852.3500000007,0.0,0.0,1.
183.0,0.0,0.0,296412.6499999993,0.0,0.0,1.
184.0,0.0,0.0,310800.6499999993,0.0,0.0,1.
185.0,0.0,0.0,351984.3500000007,0.0,0.0,1.
186.0,0.0,0.0,339633.3500000007,0.0,0.0,1.
187.0,0.0,0.0,357440.3500000007,0.0,0.0,1.
188.0,0.0,0.0,325485.3500000007,0.0,0.0,1.
189.0,0.0,0.0,323478.3500000007,0.0,0.0,1.
190.0,0.0,0.0,324548.3500000007,0.0,0.0,1.
191.0,0.0,0.0,328471.3500000007,0.0,0.0,1.
192.0,0.0,0.0,309557.3500000007,0.0,0.0,1.
193.0,0.0,0.0,388958.3500000007,0.0,0.0,1.
194.0,0.0,0.0,317712.3500000007,0.0,0.0,1.
