Water_Detected,Hands_in_Water,Soap_Score,Expected_Water_Detection,Expected_Water_Location,Expected_Soap_Score
151.0,0.0,1.0,682403.7578947351,0.0,0.0,1.
152.0,0.0,1.0,618961.7578947351,0.0,0.0,1.
153.0,0.0,1.0,655146.7578947351,0.0,0.0,1.
154.0,0.0,1.0,722154.7578947351,0.0,0.0,1.
155.0,0.0,1.0,752997.7578947351,0.0,0.0,1.
156.0,0.0,1.0,694862.7578947351,0.0,0.0,1.
157.0,0.0,1.0,750554.7578947351,0.0,0.0,1.
158.0,0.0,1.0,634754.7578947351,0.0,0.0,1.
159.0,0.0,1.0,541097.7578947351,0.0,0.0,1.
160.0,0.0,1.0,624333.7578947351,0.0,0.0,1.
161.0,0.0,1.0,624909.7578947351,0.0,0.0,1.
162.0,0.0,1.0,560786.7578947351,0.0,0.0,1.
163.0,0.0,1.0,653902.7578947351,0.0,0.0,1.
164.0,0.0,1.0,658264.7578947351,0.0,0.0,1.
165.0,0.0,1.0,560815.7578947351,0.0,0.0,1.
166.0,0.0,1.0,610605.7578947351,0.0,0.0,1.
167.0,0.0,1.0,677258.7578947351,0.0,0.0,1.
168.0,0.0,1.0,630229.7578947351,0.0,0.0,1.
169.0,0.0,1.0,660032.7578947351,0.0,0.0,1.
170.0,0.0,1.0,851567.7578947351,0.0,0.0,1.
171.0,0.0,1.0,657797.7578947351,0.0,0.0,1.
172.0,0.0,1.0,639511.7578947351,0.0,0.0,1.
173.0,0.0,1.0,812696.7578947351,0.0,0.0,1.
174.0,0.0,1.0,826770.7578947351,0.0,0.0,1.
175.0,0.0,1.0,753638.7578947351,0.0,0.0,1.
176.0,0.0,0.0,770151.7578947351,0.0,0.0,1.
177.0,0.0,1.0,578285.7578947351,0.0,0.0,1.
178.0,0.0,1.0,597439.7578947351,0.0,0.0,1.
179.0,0.0,1.0,608896.7578947351,0.0,0.0,1.
180.0,0.0,1.0,658917.7578947351,0.0,0.0,1.
181.0,0.0,1.0,574177.7578947351,0.0,0.0,1.
182.0,0.0,1.0,605402.7578947351,0.0,0.0,1.
183.0,0.0,1.0,651149.7578947351,0.0,0.0,1.
184.0,0.0,1.0,627168.7578947351,0.0,0.0,1.
185.0,0.0,1.0,611773.7578947351,0.0,0.0,1.
186.0,0.0,1.0,611754.7578947351,0.0,0.0,1.
187.0,0.0,1.0,608290.7578947351,0.0,0.0,1.
188.0,0.0,1.0,613458.7578947351,0.0,0.0,1.
189.0,0.0,1.0,610586.7578947351,0.0,0.0,1.
190.0,0.0,1.0,609035.7578947351,0.0,0.0,1.
191.0,0.0,1.0,601062.7578947351,0.0,0.0,1.
192.0,0.0,1.0,601498.7578947351,0.0,0.0,1.
193.0,0.0,1.0,596182.7578947351,0.0,0.0,1.
194.0,0.0,1.0,591157.7578947351,0.0,0.0,1.
195.0,0.0,1.0,592231.7578947351,0.0,0.0,1.
196.0,0.0,1.0,586419.7578947351,0.0,0.0,1.
197.0,0.0,1.0,592761.7578947351,0.0,0.0,1.
198.0,0.0,1.0,646462.7578947351,0.0,0.0,1.
199.0,0.0,1.0,511594.7578947351,0.0,0.0,1.
200.0,0.0,1.0,594068.7578947351,0.0,0.0,1.
201.0,0.0,1.0,792433.7578947351,0.0,0.0,1.
202.0,0.0,1.0,784107.7578947351,0.0,0.0,1.
203.0,0.0,1.0,854439.7578947351,0.0,0.0,1.
204.0,0.0,1.0,886751.7578947351,0.0,0.0,1.
205.0,0.0,1.0,943143.7578947351,0.0,0.0,1.
206.0,0.0,1.0,951990.7578947351,0.0,0.0,1.
207.0,0.0,1.0,940486.7578947351,0.0,0.0,1.
208.0,0.0,1.0,950895.7578947351,0.0,0.0,1.
209.0,0.0,1.0,943234.7578947351,0.0,0.0,1.
210.0,0.0,1.0,933842.7578947351,0.0,0.0,1.
211.0,0.0,1.0,927977.7578947351,0.0,0.0,1.
212.0,0.0,1.0,921333.7578947351,0.0,0.0,1.
213.0,0.0,1.0,909778.7578947351,0.0,0.0,1.
214.0,0.0,1.0,893016.7578947351,0.0,0.0,1.
215.0,0.0,1.0,905816.7578947351,0.0,0.0,1.
216.0,0.0,1.0,905370.7578947351,0.0,0.0,1.
217.0,0.0,1.0,905574.7578947351,0.0,0.0,1.
218.0,0.0,1.0,904007.7578947351,0.0,0.0,1.
219.0,0.0,1.0,897228.7578947351,0.0,0.0,1.
220.0,0.0,1.0,892139.7578947351,0.0,0.0,1.
221.0,0.0,1.0,883951.7578947351,0.0,0.0,1.
222.0,0.0,1.0,883796.7578947351,0.0,0.0,1.
223.0,0.0,1.0,873680.7578947351,0.0,0.0,1.
224.0,0.0,1.0,875814.7578947351,0.0,0.0,1.
225.0,0.0,1.0,824262.7578947351,0.0,0.0,1.
226.0,0.0,1.0,659174.7578947351,0.0,0.0,1.
227.0,0.0,1.0,450022.7578947351,0.0,0.0,1.
228.0,0.0,1.0,633767.7578947351,0.0,0.0,1.
229.0,0.0,1.0,517031.7578947351,0.0,0.0,1.
230.0,0.0,1.0,882180.7578947351,0.0,0.0,1.
231.0,0.0,1.0,1120947.757894735,0.0,0.0,1.
232.0,0.0,1.0,1119584.757894735,0.0,0.0,1.
